test_id,des_value
84_1167830_cane_height_type, INVALID
84_1167830_closure_placement, INVALID
84_1167830_heel_shape_type, INVALID
84_1167830_knit_structure, INVALID
84_1167830_length_type, Largo
84_1167830_neck_lapel_type, INVALID
84_1167830_silhouette_type, Recto
84_1167830_sleeve_length_type, Larga
84_1167830_toecap_type, INVALID
84_1167830_waist_type, INVALID
84_1167830_woven_structure, INVALID
83_1114401_cane_height_type, INVALID
83_1114401_closure_placement, INVALID
83_1114401_heel_shape_type, INVALID
83_1114401_knit_structure, INVALID
83_1114401_length_type, Corto
83_1114401_neck_lapel_type, INVALID
83_1114401_silhouette_type, Recto
83_1114401_sleeve_length_type, Larga
83_1114401_toecap_type, INVALID
83_1114401_waist_type, INVALID
83_1114401_woven_structure, INVALID
86_1206011_cane_height_type, INVALID
86_1206011_closure_placement, INVALID
86_1206011_heel_shape_type, INVALID
86_1206011_knit_structure, INVALID
86_1206011_length_type, INVALID
86_1206011_neck_lapel_type, INVALID
86_1206011_silhouette_type, Recto
86_1206011_sleeve_length_type, Larga
86_1206011_toecap_type, INVALID
86_1206011_waist_type, INVALID
86_1206011_woven_structure, INVALID
83_1113943_cane_height_type, INVALID
83_1113943_closure_placement, INVALID
83_1113943_heel_shape_type, INVALID
83_1113943_knit_structure, INVALID
83_1113943_length_type, INVALID
83_1113943_neck_lapel_type, INVALID
83_1113943_silhouette_type, INVALID
83_1113943_sleeve_length_type, Corta
83_1113943_toecap_type, INVALID
83_1113943_waist_type, INVALID
83_1113943_woven_structure, INVALID
83_1114536_cane_height_type, INVALID
83_1114536_closure_placement, INVALID
83_1114536_heel_shape_type, INVALID
83_1114536_knit_structure, INVALID
83_1114536_length_type, INVALID
83_1114536_neck_lapel_type, INVALID
83_1114536_silhouette_type, INVALID
83_1114536_sleeve_length_type, INVALID
83_1114536_toecap_type, INVALID
83_1114536_waist_type, INVALID
83_1114536_woven_structure, INVALID
83_1114014_cane_height_type, INVALID
83_1114014_closure_placement, INVALID
83_1114014_heel_shape_type, INVALID
83_1114014_knit_structure, INVALID
83_1114014_length_type, INVALID
83_1114014_neck_lapel_type, INVALID
83_1114014_silhouette_type, INVALID
83_1114014_sleeve_length_type, INVALID
83_1114014_toecap_type, INVALID
83_1114014_waist_type, INVALID
83_1114014_woven_structure, INVALID
84_1167821_cane_height_type, INVALID
84_1167821_closure_placement, INVALID
84_1167821_heel_shape_type, INVALID
84_1167821_knit_structure, INVALID
84_1167821_length_type, Largo
84_1167821_neck_lapel_type, INVALID
84_1167821_silhouette_type, Recto
84_1167821_sleeve_length_type, Larga
84_1167821_toecap_type, INVALID
84_1167821_waist_type, INVALID
84_1167821_woven_structure, INVALID
86_1205478_cane_height_type, INVALID
86_1205478_closure_placement, INVALID
86_1205478_heel_shape_type, INVALID
86_1205478_knit_structure, INVALID
86_1205478_length_type, INVALID
86_1205478_neck_lapel_type, INVALID
86_1205478_silhouette_type, Recto
86_1205478_sleeve_length_type, INVALID
86_1205478_toecap_type, INVALID
86_1205478_waist_type, INVALID
86_1205478_woven_structure, INVALID
