cod_modelo_color,cane_height_type,closure_placement,heel_shape_type,knit_structure,length_type,neck_lapel_type,silhouette_type,sleeve_length_type,toecap_type,waist_type,woven_structure
81_1034451,INVALID,INVALID,INVALID,INVALID,INVALID,Hawaiano/Bowling,Regular,Corta,INVALID,INVALID,INVALID
81_1034525,INVALID,INVALID,INVALID,INVALID,INVALID,Hawaiano/Bowling,Regular,Corta,INVALID,INVALID,INVALID
81_1035318,INVALID,INVALID,INVALID,INVALID,Largo,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
81_1035321,INVALID,INVALID,INVALID,INVALID,Largo,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
81_1035361,INVALID,INVALID,INVALID,INVALID,Largo,Capucha,INVALID,INVALID,INVALID,INVALID,INVALID
81_1035377,INVALID,INVALID,INVALID,INVALID,Largo,Capucha,INVALID,INVALID,INVALID,INVALID,INVALID
81_1035381,INVALID,INVALID,INVALID,INVALID,Largo,Capucha,INVALID,INVALID,INVALID,INVALID,INVALID
81_1035406,INVALID,INVALID,INVALID,INVALID,Largo,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
81_1035413,INVALID,INVALID,INVALID,INVALID,Corto,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
81_1035440,INVALID,INVALID,INVALID,INVALID,Corto,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
81_1035532,INVALID,INVALID,INVALID,INVALID,Corto,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
81_1038074,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,INVALID,INVALID,INVALID,INVALID
81_1038076,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Slim,INVALID,INVALID,INVALID,INVALID
81_1038110,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
81_1038192,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,INVALID,INVALID,INVALID,INVALID,INVALID
81_1038203,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Slim,INVALID,INVALID,INVALID,INVALID
81_1038212,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,INVALID,INVALID,INVALID,INVALID
81_1038269,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Slim,INVALID,INVALID,INVALID,INVALID
81_1038277,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,INVALID,INVALID,INVALID,INVALID,INVALID
81_1038307,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
81_1038320,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,INVALID,INVALID,INVALID,INVALID
81_1038327,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Slim,INVALID,INVALID,INVALID,INVALID
81_1038354,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,INVALID,INVALID,INVALID,INVALID
81_1038372,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
81_1038394,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,INVALID,INVALID,INVALID,INVALID,INVALID
81_1038536,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Regular,Corta,INVALID,INVALID,INVALID
81_1038554,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Regular,Corta,INVALID,INVALID,INVALID
81_1039772,INVALID,INVALID,INVALID,INVALID,Corto,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
81_1043037,INVALID,INVALID,INVALID,INVALID,INVALID,Hawaiano/Bowling,Regular,Corta,INVALID,INVALID,INVALID
81_1043067,INVALID,INVALID,INVALID,INVALID,Corto,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
81_1043504,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Regular,INVALID,INVALID,INVALID,INVALID
81_1043506,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,5 Bolsillos,INVALID,INVALID,INVALID,INVALID
81_1043518,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Regular,INVALID,INVALID,INVALID,INVALID
81_1043546,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,5 Bolsillos,INVALID,INVALID,INVALID,INVALID
81_1043550,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Regular,INVALID,INVALID,INVALID,INVALID
81_1043570,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Slim,INVALID,INVALID,INVALID,INVALID
81_1043597,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Regular,INVALID,INVALID,INVALID,INVALID
81_1043602,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Regular,INVALID,INVALID,INVALID,INVALID
81_1043614,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Slim,INVALID,INVALID,INVALID,INVALID
81_1043667,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,5 Bolsillos,INVALID,INVALID,INVALID,INVALID
81_1043673,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,5 Bolsillos,INVALID,INVALID,INVALID,INVALID
81_1043689,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Regular,INVALID,INVALID,INVALID,INVALID
81_1043705,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Regular,INVALID,INVALID,INVALID,INVALID
81_1043718,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Regular,INVALID,INVALID,INVALID,INVALID
81_1043769,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Regular,INVALID,INVALID,INVALID,INVALID
81_1043771,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,5 Bolsillos,INVALID,INVALID,INVALID,INVALID
81_1043805,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Regular,INVALID,INVALID,INVALID,INVALID
81_1043810,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Jogger,INVALID,INVALID,INVALID,INVALID
81_1043834,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Regular,INVALID,INVALID,INVALID,INVALID
81_1043855,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,5 Bolsillos,INVALID,INVALID,INVALID,INVALID
81_1043866,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Regular,INVALID,INVALID,INVALID,INVALID
81_1044215,INVALID,INVALID,INVALID,INVALID,INVALID,Panadero,INVALID,Corta,INVALID,INVALID,INVALID
81_1044222,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Regular,INVALID,INVALID,INVALID,INVALID
81_1044266,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,Larga,INVALID,INVALID,INVALID
81_1044295,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Regular,INVALID,INVALID,INVALID,INVALID
81_1044391,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Regular,INVALID,INVALID,INVALID,INVALID
81_1044455,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Regular,INVALID,INVALID,INVALID,INVALID
81_1044475,INVALID,INVALID,INVALID,INVALID,INVALID,Cutaway,Slim,Larga,INVALID,INVALID,INVALID
81_1044548,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Regular,INVALID,INVALID,INVALID,INVALID
81_1044551,INVALID,INVALID,INVALID,INVALID,INVALID,Panadero,INVALID,Corta,INVALID,INVALID,INVALID
81_1044746,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Regular,INVALID,INVALID,INVALID,INVALID
81_1044779,INVALID,INVALID,INVALID,INVALID,INVALID,Panadero,INVALID,Corta,INVALID,INVALID,INVALID
81_1044844,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,Larga,INVALID,INVALID,INVALID
81_1044847,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Modern slim,Larga,INVALID,INVALID,INVALID
81_1044849,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,INVALID,INVALID,INVALID,INVALID
81_1044852,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Regular,Larga,INVALID,INVALID,INVALID
81_1044856,INVALID,INVALID,INVALID,Punto Fino,INVALID,Regular,INVALID,Corta,INVALID,INVALID,INVALID
81_1044872,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,Larga,INVALID,INVALID,INVALID
81_1044889,INVALID,INVALID,INVALID,INVALID,INVALID,Cutaway,Slim,Larga,INVALID,INVALID,INVALID
81_1044912,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Modern slim,Larga,INVALID,INVALID,INVALID
81_1044915,INVALID,INVALID,INVALID,INVALID,Crop,INVALID,Regular,INVALID,INVALID,INVALID,INVALID
81_1044918,INVALID,INVALID,INVALID,INVALID,INVALID,Hawaiano/Bowling,Regular,Corta,INVALID,INVALID,INVALID
81_1044923,INVALID,INVALID,INVALID,INVALID,INVALID,Hawaiano/Bowling,Regular,Corta,INVALID,INVALID,INVALID
81_1044953,INVALID,INVALID,INVALID,INVALID,Largo,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
81_1044957,INVALID,INVALID,INVALID,Punto Fino,INVALID,Caja,INVALID,Corta,INVALID,INVALID,INVALID
81_1044958,INVALID,INVALID,INVALID,Punto Fino,INVALID,Caja,INVALID,Larga,INVALID,INVALID,INVALID
81_1044962,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,Larga,INVALID,INVALID,INVALID
81_1044964,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,INVALID,INVALID,INVALID,INVALID
81_1044987,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Modern slim,Larga,INVALID,INVALID,INVALID
81_1044996,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,Larga,INVALID,INVALID,INVALID
81_1045005,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Regular,INVALID,INVALID,INVALID,INVALID
81_1045007,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,Larga,INVALID,INVALID,INVALID
81_1045013,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
81_1045016,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,5 Bolsillos,INVALID,INVALID,INVALID,INVALID
81_1045017,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,INVALID,INVALID,INVALID,INVALID,INVALID
81_1045021,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,INVALID,INVALID,INVALID,INVALID
81_1045024,INVALID,INVALID,INVALID,Punto Fino,INVALID,Caja,INVALID,Larga,INVALID,INVALID,INVALID
81_1045028,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Slim,Larga,INVALID,INVALID,INVALID
81_1045055,INVALID,INVALID,INVALID,Punto Fino,INVALID,Pico,INVALID,INVALID,INVALID,INVALID,INVALID
81_1045070,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,Chino,INVALID,INVALID,INVALID,INVALID
81_1045087,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,5 Bolsillos,INVALID,INVALID,INVALID,INVALID
81_1045090,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID,Chino,INVALID,INVALID,INVALID,INVALID
81_1045096,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,INVALID,INVALID,INVALID,INVALID,INVALID
81_1045118,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Modern slim,Larga,INVALID,INVALID,INVALID
81_1045140,INVALID,INVALID,INVALID,INVALID,INVALID,Regular,Regular,Larga,INVALID,INVALID,INVALID
81_1045144,INVALID,INVALID,INVALID,Punto Fino,INVALID,Caja,INVALID,Larga,INVALID,INVALID,INVALID
81_1045173,INVALID,INVALID,INVALID,Punto Fino,INVALID,Caja,INVALID,Larga,INVALID,INVALID,INVALID
81_1045174,INVALID,INVALID,INVALID,Punto Fino,INVALID,Caja,INVALID,Larga,INVALID,INVALID,INVALID
81_1045177,INVALID,INVALID,INVALID,INVALID,Standard,INVALID,Regular,INVALID,INVALID,INVALID,INVALID
